CWE ID,CVE,Author,Package,Tag,Recall,Alerts,Paths,TP Alerts,TP Paths,Precision,F1
CWE-022,CVE-2018-1047,wildfly,wildfly,11.0.0.Final,None,None,None,None,None,N/A,N/A
CWE-022,CVE-2018-12542,vert-x3,vertx-web,3.5.3.CR1,0,6,11,0,0,0,0
CWE-022,CVE-2018-17297,dromara,hutool,4.1.11,0,35,13,0,0,0,0
CWE-022,CVE-2018-11762,apache,tika,1.18,0,98,276,0,0,0,0
CWE-022,CVE-2020-35460,joniles,mpxj,8.3.4,1,10,7,1,1,0.1,0.1818
CWE-022,CVE-2020-8570,kubernetes-client,java,client-java-parent-9.0.1,1,9,2,1,1,0.1111,0.2
CWE-022,CVE-2022-22932,apache,karaf,4.3.5,1,145,73,1,3,0.0069,0.0137
CWE-022,CVE-2019-17640,vert-x3,vertx-web,3.9.3,0,8,10,0,0,0,0
CWE-022,CVE-2022-23457,ESAPI,esapi-java-legacy,2.2.3.1,0,15,3,0,0,0,0
CWE-022,CVE-2018-1002202,srikanth-lingala,zip4j,1.3.2,0,4,0,0,0,0,0
CWE-022,CVE-2022-25842,alibaba,one-java-agent,0.0.1,1,2,2,2,2,1,1
CWE-022,CVE-2011-4367,apache,myfaces,2.0.11,1,24,28,3,11,0.125,0.2222
CWE-022,CVE-2014-7816,undertow-io,undertow,1.0.16.Final,1,3,3,1,1,0.3333,0.5
CWE-022,CVE-2018-12036,jeremylong,DependencyCheck,3.1.2,1,37,6,2,2,0.0541,0.1026
CWE-022,CVE-2018-1002200,codehaus-plexus,plexus-archiver,3.5,1,4,5,1,3,0.25,0.4
CWE-022,CVE-2018-1002201,zeroturnaround,zt-zip,1.12,1,36,31,1,2,0.0278,0.0541
CWE-022,CVE-2022-36007,jlangch,venice,1.10.16,0,16,5,0,0,0,0
CWE-022,CVE-2022-31195,DSpace,DSpace,5.1,1,335,41,10,10,0.0299,0.058
CWE-022,CVE-2022-31194,DSpace,DSpace,5.1,1,335,38,1,1,0.003,0.006
CWE-022,CVE-2022-26049,diffplug,goomph,3.37.1,1,25,8,2,3,0.08,0.1481
CWE-022,CVE-2022-4065,cbeust,testng,7.5,None,None,None,None,None,N/A,N/A
CWE-022,CVE-2022-32287,apache,uima-uimaj,3.3.0,1,277,86,8,21,0.0289,0.0561
CWE-022,CVE-2022-3782,keycloak,keycloak,20.0.1,1,888,48,1,1,0.0011,0.0022
CWE-022,CVE-2023-24057,hapifhir,org.hl7.fhir.core,5.6.91,0,0,0,0,0,N/A,0
CWE-022,CVE-2023-41044,Graylog2,graylog2-server,5.1.2,0,42,8,0,0,0,0
CWE-022,CVE-2023-35887,apache,mina-sshd,2.9.2,1,150,48,11,11,0.0733,0.1366
CWE-022,CVE-2023-37460,codehaus-plexus,plexus-archiver,4.7.1,1,6,8,1,4,0.1667,0.2857
CWE-022,CVE-2022-4244,codehaus-plexus,plexus-utils,3.0.23,1,6,15,2,8,0.3333,0.5
CWE-022,CVE-2023-45278,yamcs,yamcs,5.8.6,1,145,82,2,2,0.0138,0.0272
CWE-022,CVE-2023-45277,yamcs,yamcs,5.8.6,1,134,58,1,1,0.0075,0.0148
CWE-022,CVE-2024-23673,apache,sling-org-apache-sling-servlets-resolver,2.10.0,0,1,2,0,0,0,0
CWE-022,CVE-2025-53622,DSpace,DSpace,dspace-7.6.3,0,312,31,0,0,0,0
CWE-022,CVE-2024-57727,SimpleHelp,SimpleHelp,5.5.7,None,None,None,None,None,N/A,N/A
CWE-022,CVE-2025-46096,opensolon,solon,3.1.2,0,19,8,0,0,0,0
CWE-022,CVE-2025-32950,jmix-framework,jmix,2.0.0,0,396,20,0,0,0,0
CWE-022,CVE-2025-24961,gaul,s3proxy,2.5.0,1,90,179,3,8,0.0333,0.0645
CWE-022,CVE-2022-34662,apache,dolphinscheduler,2.0.9,1,55,72,4,7,0.0727,0.1356
CWE-022,CVE-2024-49771,joniles,mpxj,8.3.5,0,167,13,0,0,0,0
CWE-022,CVE-2018-9159,perwendel,spark,2.7.1,1,6,20,6,20,1,1
CWE-022,CVE-2016-9177,perwendel,spark,2.5.1,1,7,28,6,24,0.857,0.923
CWE-073,CVE-2024-23634,geoserver,geoserver,2.23.4,None,None,None,None,None,N/A,N/A
CWE-073,CVE-2025-0851,deepjavalibrary,djl,0.30.0,0,107,69,0,0,0,0
CWE-073,CVE-2025-1686,PebbleTemplates,pebble,3.2.2,0,3,0,0,0,0,0
CWE-073,CVE-2026-23529,Aiven-Open,bigquery-connector-for-apache-kafka,v2.10.1,0,6,2,0,0,0,0
CWE-073,CVE-2024-8616,h2oai,h2o-3,3.44.0.3,None,None,None,None,None,N/A,N/A
CWE-074,CVE-2026-1050,risesoft-y9,Digital-Infrastructure,9.6.7,0,155,25,0,0,0,0
CWE-074,CVE-2023-39013,larsga,Duke,1.2,0,37,4,0,0,0,0
CWE-074,CVE-2023-25141,apache,sling-org-apache-sling-jcr-base,3.1.0,0,0,0,0,0,N/A,0
CWE-074,CVE-2022-40145,apache,karaf,4.4.0,1,444,17,1,2,0.0023,0.0045
CWE-074,CVE-2022-34916,apache,flume,1.10.0,None,None,None,None,None,N/A,N/A
CWE-074,CVE-2018-1000130,rhuss,jolokia,1.3.7,None,None,None,None,None,N/A,N/A
CWE-078,CVE-2020-1956,apache,kylin,kylin-3.0.1,1,554,77,3,8,0.0054,0.0108
CWE-078,CVE-2022-33891,apache,spark,v3.2.1,0,32,9,0,0,0,0
CWE-078,CVE-2021-45456,apache,kylin,kylin-4.0.0,1,280,54,5,12,0.0179,0.0351
CWE-078,CVE-2024-28125,unclebob,fitnesse,20240707,0,132,15,0,0,0,0
CWE-078,CVE-2022-25168,apache,hadoop,3.3.0,None,None,None,None,None,N/A,N/A
CWE-078,CVE-2013-7285,x-stream,xstream,1.4.6,0,49,0,0,0,0,0
CWE-078,CVE-2017-1000487,codehaus-plexus,plexus-utils,3.0.15,0,2,0,0,0,0,0
CWE-078,CVE-2019-10392,jenkinsci,git-client-plugin,2.8.4,0,0,0,0,0,N/A,0
CWE-078,CVE-2020-2261,jenkinsci,perfecto-plugin,1.17,0,30,0,0,0,0,0
CWE-078,CVE-2022-33140,apache,nifi,1.16.2,0,1492,65,0,0,0,0
CWE-078,CVE-2021-38294,apache,storm,2.0.0,None,None,None,None,None,N/A,N/A
CWE-079,CVE-2019-10077,apache,jspwiki,2.11.0.M3,1,107,80,1,1,0.0093,0.0185
CWE-079,CVE-2019-10076,apache,jspwiki,2.11.0.M3,0,151,74,0,0,0,0
CWE-079,CVE-2019-10078,apache,jspwiki,2.11.0.M3,0,90,50,0,0,0,0
CWE-079,CVE-2019-10089,apache,jspwiki,2.11.0.M4,0,123,72,0,0,0,0
CWE-079,CVE-2019-10219,hibernate,hibernate-validator,6.0.17.Final,0,6,1,0,0,0,0
CWE-079,CVE-2016-6812,apache,cxf,3.0.11,0,900,284,0,0,0,0
CWE-079,CVE-2022-46907,apache,jspwiki,2.11.3,1,128,55,7,7,0.0547,0.1037
CWE-079,CVE-2025-62249,liferay,liferay-portal,114.1.0,None,None,None,None,None,N/A,N/A
CWE-079,CVE-2025-43774,liferay,liferay-portal-taglib-clay,15.2.1,None,None,None,None,None,N/A,N/A
CWE-079,CVE-2019-17573,apache,cxf,3.2.11,0,458,209,0,0,0,0
CWE-089,CVE-2025-62228,apache,flink-cdc,3.3.0,0,82,15,0,0,0,0
CWE-089,CVE-2022-4963,folio-org,spring-module-core,2.0.0,0,11,0,0,0,0,0
CWE-089,CVE-2020-13921,apache,skywalking,8.0.0,None,None,None,None,None,N/A,N/A
CWE-089,CVE-2023-35088,apache,inlong,1.5.0,0,0,0,0,0,N/A,0
CWE-089,CVE-2022-31197,pgjdbc,pgjdbc,42.4.0,1,45,9,1,2,0.0222,0.0435
CWE-089,CVE-2022-45930,opendaylight,aaa,v0.16.4,0,0,0,0,0,N/A,0
CWE-089,CVE-2023-25157,geoserver,geoserver,2.21.3,None,None,None,None,None,N/A,N/A
CWE-094,CVE-2022-22947,spring-cloud,spring-cloud-gateway,3.0.6,1,36,24,1,1,0.0278,0.0541
CWE-094,CVE-2021-30180,apache,dubbo,2.7.9,1,903,441,32,38,0.0354,0.0684
CWE-094,CVE-2021-4178,fabric8io,kubernetes-client,5.0.2,None,None,None,None,None,N/A,N/A
CWE-094,CVE-2022-42889,apache,commons-text,1.9,0,70,73,0,0,0,0
CWE-094,CVE-2022-44262,ff4j,ff4j,1.8.13,1,506,370,55,83,0.1087,0.1961
CWE-094,CVE-2023-51770,apache,dolphinscheduler,3.2.0,1,1437,323,3,6,0.0021,0.0042
CWE-094,CVE-2023-49109,apache,dolphinscheduler,3.2.0,0,1366,253,0,0,0,0
CWE-094,CVE-2020-11998,apache,activemq,5.15.12,0,1560,429,0,0,0,0
CWE-094,CVE-2023-49093,HtmlUnit,htmlunit,3.8.0,0,282,67,0,0,0,0
CWE-094,CVE-2023-33246,apache,rocketmq,5.1.0,0,704,164,0,0,0,0
CWE-094,CVE-2023-32697,xerial,sqlite-jdbc,3.41.2.1,1,51,15,8,14,0.1569,0.2712
CWE-502,CVE-2017-15708,apache,synapse,3.0.0,None,None,None,None,None,N/A,N/A
CWE-502,CVE-2019-7091,adobe,coldfusion,11_Update_15,None,None,None,None,None,N/A,N/A
CWE-502,CVE-2019-0192,apache,solr,6.0.0,None,None,None,None,None,N/A,N/A
CWE-502,CVE-2023-46604,apache,activemq,5.16.0,0,0,0,0,0,N/A,0
CWE-502,CVE-2021-44228,apache,logging-log4j2,2.14.0,0,0,0,0,0,N/A,0
CWE-502,CVE-2025-47771,powsybl,powsybl-core,6.7.1,0,0,0,0,0,N/A,0
CWE-502,CVE-2018-1297,apache,jmeter,3.0.0,None,None,None,None,None,N/A,N/A
CWE-502,CVE-2025-6544,h2oai,h2o-3,3.46.0.7,None,None,None,None,None,N/A,N/A
CWE-502,CVE-2024-10553,h2oai,h2o-3,3.46.0.5,None,None,None,None,None,N/A,N/A
CWE-502,CVE-2023-45146,xuxueli,xxl-rpc,1.7.0,0,0,0,0,0,N/A,0
CWE-502,CVE-2024-47552,apache,incubator-seata,2.0.0,0,716,0,0,0,0,0
CWE-502,CVE-2023-51785,apache,inlong,1.5.0,0,0,0,0,0,N/A,0
CWE-502,CVE-2023-48887,fengjiachun,Jupiter,1.3.1,None,None,None,None,None,N/A,N/A
