CWE ID,CVE,Author,Package,Tag,Recall,Alerts,Paths,TP Alerts,TP Paths,Precision,F1,TOP_3,TOP_5,TOP_10
CWE-022,CVE-2018-9159,perwendel,spark,2.7.1,0,2,3,0,0,0,0,0,0,0
CWE-022,CVE-2016-9177,perwendel,spark,2.5.1,0,2,2,0,0,0,0,0,0,0
CWE-022,CVE-2018-1047,wildfly,wildfly,11.0.0.Final,0,0,2,0,0,0,0,0,0,0
CWE-022,CVE-2018-12542,vert-x3,vertx-web,3.5.3.CR1,0,0,0,0,0,N/A,0,,,
CWE-022,CVE-2018-17297,dromara,hutool,4.1.11,0,20,61,0,3,0,0,0,0,0
CWE-022,CVE-2018-11762,apache,tika,1.18,1,7,7,7,7,1,1,1,1,1
CWE-022,CVE-2020-5410,spring-cloud,spring-cloud-config,2.1.8.RELEASE,1,7,13,2,3,0.285714286,0.444444444,0,1,1
CWE-022,CVE-2020-5405,spring-cloud,spring-cloud-config,2.1.6.RELEASE,0,0,2,0,0,0,0,0,0,0
CWE-022,CVE-2020-35460,joniles,mpxj,8.3.4,1,28,63,1,2,0.035714286,0.068965517,0,0,1
CWE-022,CVE-2020-17519,apache,flink,1.11.2,0,1,19,0,0,0,0,0,0,0
CWE-022,CVE-2020-8570,kubernetes-client,java,client-java-parent-9.0.1,1,14,14,1,1,0.071428571,0.133333333,0,0,1
CWE-022,CVE-2022-22932,asf,karaf,4.3.5,0,0,5,0,2,0,0,0,0,0
CWE-022,CVE-2019-17640,vert-x3,vertx-web,3.9.3,0,0,0,0,0,N/A,0,,,
CWE-022,CVE-2022-23457,ESAPI,esapi-java-legacy,2.2.3.1,1,32,32,2,2,0.0625,0.117647059,0,0,0
CWE-022,CVE-2018-1002202,srikanth-lingala,zip4j,1.3.2,1,14,14,2,2,0.142857143,0.25,0,0,1
CWE-022,CVE-2022-25842,alibaba,one-java-agent,0.0.1,1,2,4,2,2,1,1,1,1,1
CWE-022,CVE-2011-4367,apache,myfaces,2.0.11,1,14,14,3,3,0.214285714,0.352941176,0,0,1
CWE-022,CVE-2014-7816,undertow-io,undertow,1.0.16.Final,0,0,0,0,0,N/A,0,,,
CWE-022,CVE-2018-12036,jeremylong,DependencyCheck,3.1.2,1,37,38,10,10,0.27027027,0.425531915,0,0,1
CWE-022,CVE-2018-1002200,codehaus-plexus,plexus-archiver,3.5,1,18,43,1,1,0.055555556,0.105263158,0,0,0
CWE-022,CVE-2018-1002201,zeroturnaround,zt-zip,1.12,0,68,72,0,0,0,0,0,0,0
CWE-022,CVE-2022-36007,jlangch,venice,1.10.16,0,35,38,0,0,0,0,0,0,0
CWE-022,CVE-2022-31195,DSpace,DSpace,5.1,1,110,134,8,8,0.072727273,0.13559322,0,0,0
CWE-022,CVE-2022-31194,DSpace,DSpace,5.1,0,0,0,0,0,N/A,0,,,
CWE-022,CVE-2022-26049,diffplug,goomph,3.37.1,1,24,48,3,4,0.125,0.222222222,0,0,1
CWE-022,CVE-2022-4065,testng-team,testng,7.5,0,37,38,0,0,0,0,0,0,0
CWE-022,CVE-2022-32287,apache,uima-uimaj,3.3.0,1,20,34,14,22,0.7,0.823529412,0,1,1
CWE-022,CVE-2022-3782,keycloak,keycloak,20.0.1,0,0,2,0,0,0,0,0,0,0
CWE-022,CVE-2023-24057,hapifhir,org.hl7.fhir.core,5.6.91,1,17,17,4,4,0.235294118,0.380952381,1,1,1
CWE-022,CVE-2023-41044,Graylog2,graylog2-server,5.1.2,0,13,15,0,0,0,0,0,0,0
CWE-022,CVE-2023-35887,apache,mina-sshd,2.9.2,0,2,5,0,0,0,0,0,0,0
CWE-022,CVE-2023-37460,codehaus-plexus,plexus-archiver,4.7.1,1,4,12,1,1,0.25,0.4,0,1,1
CWE-022,CVE-2022-4244,codehaus-plexus,plexus-utils,3.0.23,1,51,104,3,3,0.058823529,0.111111111,0,0,0
CWE-022,CVE-2023-45278,yamcs,yamcs,5.8.6,0,27,27,0,0,0,0,0,0,0
CWE-022,CVE-2023-45277,yamcs,yamcs,5.8.6,0,27,27,0,0,0,0,0,0,0
CWE-022,CVE-2024-23673,apache,sling-org-apache-sling-servlets-resolver,2.10.0,0,0,1,0,0,0,0,0,0,0
CWE-022,CVE-2025-53622,DSpace,DSpace,dspace-7.6.3,1,29,49,1,1,0.034482759,0.066666667,0,0,0
CWE-022,CVE-2024-57727,SimpleHelp,SimpleHelp,5.5.7,1,1,1,1,1,1,1,1,1,1
CWE-022,CVE-2025-46096,opensolon,solon,3.1.2,0,2,2,0,0,0,0,0,0,0
CWE-022,CVE-2025-32950,jmix-framework,jmix,2.0.0,0,0,0,0,0,N/A,0,,,
CWE-022,CVE-2025-0851,deepjavalibrary,djl,0.30.0,1,16,17,2,2,0.125,0.222222222,1,1,1
CWE-022,CVE-2025-24961,gaul,s3proxy,2.5.0,0,0,0,0,0,N/A,0,,,
CWE-022,CVE-2022-34662,apache,dolphinscheduler,2.0.9,0,11,11,0,0,0,0,0,0,0
CWE-022,CVE-2018-8041,apache,camel,2.20.3,0,0,0,0,0,N/A,0,,,
CWE-022,CVE-2024-49771,joniles,mpxj,8.3.5,0,0,2,0,2,0,0,0,0,0
CWE-073,CVE-2024-8616,h2oai,h2o-3,3.44.0.3,0,0,0,0,0,N/A,0,,,
CWE-078,CVE-2024-28125,unclebob,fitnesse,20240707,0,0,0,0,0,N/A,0,,,
CWE-078,CVE-2022-25168,apache,hadoop,3.3.0,0,2,2,0,0,0,0,0,0,0
CWE-078,CVE-2013-7285,x-stream,xstream,1.4.6,1,6,6,3,3,0.5,0.666666667,1,1,1
CWE-078,CVE-2022-25173,jenkinsci,workflow-cps-plugin,2646.v6ed3b5b01ff1,1,7,7,1,1,0.142857143,0.25,0,1,1
CWE-078,CVE-2022-25174,jenkinsci,workflow-cps-global-lib-plugin,544.vff04fa68714d,1,3,9,2,2,0.666666667,0.8,1,1,1
CWE-078,CVE-2022-25175,jenkinsci,workflow-multibranch-plugin,706.vd43c65dec013,0,0,0,0,0,N/A,0,,,
CWE-078,CVE-2017-1000487,codehaus-plexus,plexus-utils,3.0.15,0,0,0,0,0,N/A,0,,,
CWE-078,CVE-2019-10392,jenkinsci,git-client-plugin,2.8.4,0,0,1,0,0,0,0,0,0,0
CWE-078,CVE-2020-2261,jenkinsci,perfecto-plugin,1.17,0,0,0,0,0,N/A,0,,,
CWE-078,CVE-2022-33140,apache,nifi,1.16.2,0,1,1,0,0,0,0,0,0,0
CWE-078,CVE-2023-24422,jenkinsci,script-security-plugin,1228.vd93135a_2fb_25,0,0,12,0,2,0,0,0,0,0
CWE-078,CVE-2021-38294,apache,storm,2.0.0,0,2,2,0,0,0,0,0,0,0
CWE-074,CVE-2023-39013,larsga,Duke,1.2,0,0,0,0,0,N/A,0,,,
CWE-074,CVE-2023-25141,apache,sling-org-apache-sling-jcr-base,3.1.0,0,0,0,0,0,N/A,0,,,
CWE-074,CVE-2022-40145,apache,karaf,4.4.0,0,0,0,0,0,N/A,0,,,
CWE-074,CVE-2022-34916,apache,flume,1.10.0,0,0,0,0,0,N/A,0,,,
CWE-074,CVE-2018-1000130,rhuss,jolokia,1.3.7,1,7,8,3,3,0.428571429,0.6,1,1,1
CWE-502,CVE-2017-15708,apache,synapse,3.0.0,0,3,3,0,0,0,0,0,0,0
CWE-502,CVE-2019-7091,adobe,coldfusion,11_Update_15,0,2,2,0,0,0,0,0,0,0
CWE-502,CVE-2019-0192,apache,solr,6.0.0,0,0,0,0,0,N/A,0,,,
CWE-502,CVE-2023-46604,apache,activemq,5.16.0,1,20,20,20,20,1,1,1,1,1
CWE-284,CVE-2016-4437,apache,shiro,1.2.4,0,2,2,0,0,0,0,0,0,0
CWE-502,CVE-2021-44228,apache,logging-log4j2,2.14.0,1,2,2,1,1,0.5,0.666666667,1,1,1
CWE-502,CVE-2025-47771,powsybl,powsybl-core,6.7.1,1,1,1,1,1,1,1,1,1,1
CWE-502,CVE-2018-1297,apache,jmeter,3.0.0,0,0,0,0,0,N/A,0,,,
CWE-502,CVE-2025-6544,h2oai,h2o-3,3.46.0.7,1,6,6,3,3,0.5,0.666666667,1,1,1
CWE-502,CVE-2024-10553,h2oai,h2o-3,3.46.0.5,0,0,6,0,3,0,0,0,0,0
CWE-502,CVE-2023-45146,xuxueli,xxl-rpc,1.7.0,0,0,0,0,0,N/A,0,,,
CWE-502,CVE-2024-47552,apache,incubator-seata,2.0.0,0,0,0,0,0,N/A,0,,,
CWE-502,CVE-2023-51785,apache,inlong,1.5.0,0,36,36,0,0,0,0,0,0,0
CWE-502,CVE-2023-48887,fengjiachu,Jupiter,1.3.1,0,0,0,0,0,N/A,0,,,
CWE-502,CVE-2023-31890,glazedlists,glazedlists,1.11.0,0,2,2,0,0,0,0,0,0,0
CWE-079,CVE-2019-10077,apache,jspwiki,2.11.0.M3,0,0,0,0,0,N/A,0,,,
CWE-079,CVE-2019-10076,apache,jspwiki,2.11.0.M3,0,0,0,0,0,N/A,0,,,
CWE-079,CVE-2019-10078,apache,jspwiki,2.11.0.M3,0,0,0,0,0,N/A,0,,,
CWE-079,CVE-2019-10089,apache,jspwiki,2.11.0.M4,0,0,0,0,0,N/A,0,,,
CWE-079,CVE-2019-10219,hibernate,hibernate-validator,6.0.17.Final,0,0,0,0,0,N/A,0,,,
CWE-079,CVE-2016-6812,asf,cxf,3.0.11,0,0,0,0,0,N/A,0,,,
CWE-079,CVE-2022-46907,apache,jspwiki,2.11.3,0,0,13,0,0,0,0,0,0,0
CWE-079,CVE-2025-62249,liferay,liferay-portal,114.1.0,0,0,0,0,0,N/A,0,,,
CWE-079,CVE-2025-43774,liferay,liferay-portal-taglib-clay,15.2.1,0,0,0,0,0,N/A,0,,,
CWE-079,CVE-2019-17573,asf,cxf,3.2.11,0,0,0,0,0,N/A,0,,,
CWE-020,CVE-2017-18349,pippo-java,pippo,1.11.0,0,0,0,0,0,N/A,0,,,
CWE-094,CVE-2022-22947,spring-cloud,spring-cloud-gateway,3.0.6,1,1,4,1,2,1,1,1,1,1
