CWE ID,CVE,Author,Package,Tag,Recall,Alerts,Paths,TP Alerts,TP Paths,Precision,F1,TOP_3,TOP_5,TOP_10
CWE-022,CVE-2018-1047,wildfly,wildfly,11.0.0.Final,1,4,5,2,3,0.5,0.6667,1,1,1
CWE-022,CVE-2018-12542,vert-x3,vertx-web,3.5.3.CR1,1,39,447,28,278,0.7179,0.8358,1,1,1
CWE-022,CVE-2018-17297,dromara,hutool,4.1.11,0,19,31,0,0,0,0,0,0,0
CWE-022,CVE-2018-11762,apache,tika,1.18,1,8,10,3,3,0.375,0.5455,1,1,1
CWE-022,CVE-2020-35460,joniles,mpxj,8.3.4,1,71,71,1,1,0.0141,0.0278,0,0,0
CWE-022,CVE-2020-8570,kubernetes-client,java,client-java-parent-9.0.1,0,15,28,0,13,0,0,0,0,0
CWE-022,CVE-2022-22932,apache,karaf,4.3.5,1,21,29,5,5,0.2381,0.3846,,,
CWE-022,CVE-2019-17640,vert-x3,vertx-web,3.9.3,0,86,159,0,0,0,0,0,0,0
CWE-022,CVE-2022-23457,ESAPI,esapi-java-legacy,2.2.3.1,1,57,159,6,17,0.105263158,0.190476191,0,0,0
CWE-022,CVE-2018-1002202,srikanth-lingala,zip4j,1.3.2,1,51,52,15,15,0.2941,0.4545,0,0,1
CWE-022,CVE-2022-25842,alibaba,one-java-agent,0.0.1,0,1,7,0,2,0,0,0,0,0
CWE-022,CVE-2011-4367,apache,myfaces,2.0.11,1,90,1122,50,916,0.5556,0.7143,1,1,1
CWE-022,CVE-2014-7816,undertow-io,undertow,1.0.16.Final,0,17,63,0,0,0,0,0,0,0
CWE-022,CVE-2018-12036,jeremylong,DependencyCheck,3.1.2,1,211,648,15,71,0.0711,0.1327,0,1,1
CWE-022,CVE-2018-1002200,codehaus-plexus,plexus-archiver,3.5,0,0,0,0,0,N/A,0,,,
CWE-022,CVE-2018-1002201,zeroturnaround,zt-zip,1.12,1,120,168,17,18,0.1417,0.2482,1,1,1
CWE-022,CVE-2022-36007,jlangch,venice,1.10.16,0,39,46,0,0,0,0,0,0,0
CWE-022,CVE-2022-31195,DSpace,DSpace,5.1,1,129,222,1,1,0.0078,0.0154,0,0,0
CWE-022,CVE-2022-31194,DSpace,DSpace,5.1,1,36,40,25,27,0.6944,0.8197,1,1,1
CWE-022,CVE-2022-26049,diffplug,goomph,3.37.1,1,51,126,4,4,0.0784,0.1455,1,1,1
CWE-022,CVE-2022-4065,cbeust,testng,7.5,1,43,50,1,1,0.0233,0.0455,,,
CWE-022,CVE-2022-32287,apache,uima-uimaj,3.3.0,1,85,180,5,6,0.0588,0.1111,0,0,1
CWE-022,CVE-2022-3782,keycloak,keycloak,20.0.1,0,0,0,0,0,N/A,0,0,0,0
CWE-022,CVE-2023-24057,hapifhir,org.hl7.fhir.core,5.6.91,1,16,36,2,6,0.125,0.2222,1,1,1
CWE-022,CVE-2023-41044,Graylog2,graylog2-server,5.1.2,0,7,41,0,10,0,0,0,0,0
CWE-022,CVE-2023-35887,apache,mina-sshd,2.9.2,0,3,10,0,1,0,0,0,0,0
CWE-022,CVE-2023-37460,codehaus-plexus,plexus-archiver,4.7.1,0,7,142,0,3,0,0,0,0,0
CWE-022,CVE-2022-4244,codehaus-plexus,plexus-utils,3.0.23,1,76,118,7,7,0.0921,0.1687,1,1,1
CWE-022,CVE-2023-45278,yamcs,yamcs,5.8.6,0,231,728,0,6,0,0,0,0,0
CWE-022,CVE-2023-45277,yamcs,yamcs,5.8.6,1,243,696,4,6,0.0165,0.0324,0,0,1
CWE-022,CVE-2024-23673,apache,sling-org-apache-sling-servlets-resolver,2.10.0,0,0,0,0,0,N/A,0,,,
CWE-022,CVE-2025-53622,DSpace,DSpace,dspace-7.6.3,1,96,154,14,17,0.1458,0.2545,0,0,1
