CWE ID,CVE,Author,Package,Tag,Recall,Alerts,Paths,TP Alerts,TP Paths,Precision,F1,TOP_3,TOP_5,TOP_10
CWE-022,CVE-2018-9159,perwendel,spark,2.7.1,1,20,75,6,27,0.3,0.461538462,1,1,1
CWE-022,CVE-2016-9177,perwendel,spark,2.5.1,1,76,138,58,110,0.763157895,0.865671642,0,1,1
CWE-022,CVE-2018-1047,wildfly,wildfly,11.0.0.Final,1,4,5,2,3,0.5,0.666666667,1,1,1
CWE-022,CVE-2018-12542,vert-x3,vertx-web,3.5.3.CR1,1,39,447,29,287,0.743589744,0.852941176,1,1,1
CWE-022,CVE-2018-17297,dromara,hutool,4.1.11,1,45,81,1,3,0.022222222,0.043478261,0,0,1
CWE-022,CVE-2018-11762,apache,tika,1.18,1,8,10,8,10,1,1,1,1,1
CWE-022,CVE-2020-5410,spring-cloud,spring-cloud-config,2.1.8.RELEASE,0,20,181,0,40,0,0,0,0,0
CWE-022,CVE-2020-5405,spring-cloud,spring-cloud-config,2.1.6.RELEASE,1,132,352,132,352,1,1,1,1,1
CWE-022,CVE-2020-35460,joniles,mpxj,8.3.4,1,71,71,2,2,0.028169014,0.054794521,0,0,0
CWE-022,CVE-2020-17519,apache,flink,1.11.2,1,32,64,1,1,0.03125,0.060606061,1,1,1
CWE-022,CVE-2020-8570,kubernetes-client,java,client-java-parent-9.0.1,0,15,28,0,13,0,0,0,0,0
CWE-022,CVE-2022-22932,asf,karaf,4.3.5,0,1,5,0,2,0,0,0,0,0
CWE-022,CVE-2019-17640,vert-x3,vertx-web,3.9.3,0,0,5,0,0,0,0,0,0,0
CWE-022,CVE-2022-23457,ESAPI,esapi-java-legacy,2.2.3.1,1,57,159,6,17,0.105263158,0.19047619,0,0,0
CWE-022,CVE-2018-1002202,srikanth-lingala,zip4j,1.3.2,1,51,52,15,15,0.294117647,0.454545455,0,0,1
CWE-022,CVE-2022-25842,alibaba,one-java-agent,0.0.1,1,1,7,1,3,1,1,1,1,1
CWE-022,CVE-2011-4367,apache,myfaces,2.0.11,1,90,1122,59,1056,0.655555556,0.791946309,1,1,1
CWE-022,CVE-2014-7816,undertow-io,undertow,1.0.16.Final,0,17,63,0,0,0,0,0,0,0
CWE-022,CVE-2018-12036,jeremylong,DependencyCheck,3.1.2,1,211,648,15,71,0.071090047,0.132743363,0,1,1
CWE-022,CVE-2018-1002200,codehaus-plexus,plexus-archiver,3.5,0,0,0,0,0,N/A,0,,,
CWE-022,CVE-2018-1002201,zeroturnaround,zt-zip,1.12,1,120,168,17,18,0.141666667,0.248175182,1,1,1
CWE-022,CVE-2022-36007,jlangch,venice,1.10.16,0,39,46,0,0,0,0,0,0,0
