CWE ID,CVE,Author,Package,Tag,Recall,Alerts,Paths,TP Alerts,TP Paths,Precision,F1,TOP_3,TOP_5,TOP_10
CWE-022,CVE-2018-9159,perwendel,spark,2.7.1,1,64,73,27,27,0.421875,0.593406593,1,1,1
CWE-022,CVE-2016-9177,perwendel,spark,2.5.1,1,130,171,102,143,0.784615385,0.879310345,0,0,0
CWE-022,CVE-2018-1047,wildfly,wildfly,11.0.0.Final,1,5,5,3,3,0.6,0.75,1,1,1
CWE-022,CVE-2018-12542,vert-x3,vertx-web,3.5.3.CR1,1,360,444,246,284,0.683333333,0.811881188,0,0,0
CWE-022,CVE-2018-17297,dromara,hutool,4.1.11,1,62,81,3,3,0.048387097,0.092307692,0,0,1
CWE-022,CVE-2018-11762,apache,tika,1.18,1,10,10,10,10,1,1,1,1,1
CWE-022,CVE-2020-5410,spring-cloud,spring-cloud-config,2.1.8.RELEASE,1,139,150,17,26,0.122302158,0.217948718,0,0,0
CWE-022,CVE-2020-5405,spring-cloud,spring-cloud-config,2.1.6.RELEASE,1,302,327,302,327,1,1,1,1,1
CWE-022,CVE-2020-35460,joniles,mpxj,8.3.4,1,70,70,2,2,0.028571429,0.055555556,0,0,0
CWE-022,CVE-2020-17519,apache,flink,1.11.2,1,31,64,1,1,0.032258065,0.0625,0,0,0
CWE-022,CVE-2020-8570,kubernetes-client,java,client-java-parent-9.0.1,1,28,28,13,13,0.464285714,0.634146341,0,0,1
CWE-022,CVE-2022-22932,asf,karaf,4.3.5,0,2,5,0,2,0,0,0,0,0
CWE-022,CVE-2019-17640,vert-x3,vertx-web,3.9.3,0,4,5,0,0,0,0,0,0,0
CWE-022,CVE-2022-23457,ESAPI,esapi-java-legacy,2.2.3.1,1,116,150,6,15,0.051724138,0.098360656,0,0,0
CWE-022,CVE-2018-1002202,srikanth-lingala,zip4j,1.3.2,1,51,51,15,15,0.294117647,0.454545455,0,0,1
CWE-022,CVE-2022-25842,alibaba,one-java-agent,0.0.1,1,7,7,3,3,0.428571429,0.6,1,1,1
CWE-022,CVE-2011-4367,apache,myfaces,2.0.11,1,649,1003,603,939,0.929121726,0.963258786,1,1,1
CWE-022,CVE-2014-7816,undertow-io,undertow,1.0.16.Final,0,43,43,0,0,0,0,0,0,0
CWE-022,CVE-2018-12036,jeremylong,DependencyCheck,3.1.2,1,411,618,61,70,0.148418491,0.258474576,0,0,1
CWE-022,CVE-2018-1002200,codehaus-plexus,plexus-archiver,3.5,0,0,0,0,0,N/A,0,,,
CWE-022,CVE-2018-1002201,zeroturnaround,zt-zip,1.12,1,111,168,17,18,0.153153153,0.265625,0,1,1
CWE-022,CVE-2022-36007,jlangch,venice,1.10.16,0,41,46,0,0,0,0,0,0,0
CWE-022,CVE-2022-31195,DSpace,DSpace,5.1,1,199,223,2,2,0.010050251,0.019900498,0,0,0
CWE-022,CVE-2022-31194,DSpace,DSpace,5.1,1,33,33,31,31,0.939393939,0.96875,1,1,1
CWE-022,CVE-2022-26049,diffplug,goomph,3.37.1,1,72,114,4,4,0.055555556,0.105263158,0,1,1
CWE-022,CVE-2022-4065,testng-team,testng,7.5,1,39,50,1,1,0.025641026,0.05,1,1,1
CWE-022,CVE-2022-32287,apache,uima-uimaj,3.3.0,1,180,180,24,24,0.133333333,0.235294118,0,0,1
CWE-022,CVE-2022-3782,keycloak,keycloak,20.0.1,0,0,3,0,3,0,0,0,0,0
CWE-022,CVE-2023-24057,hapifhir,org.hl7.fhir.core,5.6.91,1,20,36,4,10,0.2,0.333333333,1,1,1
CWE-022,CVE-2023-41044,Graylog2,graylog2-server,5.1.2,0,18,41,0,10,0,0,0,0,0
CWE-022,CVE-2023-35887,apache,mina-sshd,2.9.2,1,10,10,1,1,0.1,0.181818182,0,1,1
CWE-022,CVE-2023-37460,codehaus-plexus,plexus-archiver,4.7.1,1,15,141,3,3,0.2,0.333333333,1,1,1
CWE-022,CVE-2022-4244,codehaus-plexus,plexus-utils,3.0.23,1,100,118,7,7,0.07,0.130841121,1,1,1
CWE-022,CVE-2023-45278,yamcs,yamcs,5.8.6,1,505,677,6,6,0.011881188,0.023483366,0,0,0
CWE-022,CVE-2023-45277,yamcs,yamcs,5.8.6,1,556,656,6,6,0.010791367,0.021352313,0,0,0
CWE-022,CVE-2024-23673,apache,sling-org-apache-sling-servlets-resolver,2.10.0,1,483,1241,210,494,0.434782609,0.606060606,0,0,1
CWE-022,CVE-2025-53622,DSpace,DSpace,dspace-7.6.3,1,109,154,23,23,0.211009174,0.348484848,0,0,1
CWE-022,CVE-2024-57727,SimpleHelp,SimpleHelp,5.5.7,1,7,7,1,1,0.142857143,0.25,1,1,1
CWE-022,CVE-2025-46096,opensolon,solon,3.1.2,1,10,11,4,5,0.4,0.571428571,1,1,1
CWE-022,CVE-2025-32950,jmix-framework,jmix,2.0.0,1,2,5,2,5,1,1,1,1,1
CWE-022,CVE-2025-0851,deepjavalibrary,djl,0.30.0,1,25,38,4,4,0.16,0.275862069,1,1,1
CWE-022,CVE-2025-24961,gaul,s3proxy,2.5.0,1,73,73,17,17,0.232876712,0.377777778,0,0,1
CWE-022,CVE-2022-34662,apache,dolphinscheduler,2.0.9,1,23,23,6,6,0.260869565,0.413793103,1,1,1
CWE-022,CVE-2018-8041,apache,camel,2.20.3,0,0,25,0,2,0,0,0,0,0
CWE-022,CVE-2024-49771,joniles,mpxj,8.3.5,1,11,17,9,11,0.818181818,0.9,1,1,1
CWE-073,CVE-2024-8616,h2oai,h2o-3,3.44.0.3,1,3,3,2,2,0.666666667,0.8,1,1,1
CWE-078,CVE-2024-28125,unclebob,fitnesse,20240707,1,4,4,4,4,1,1,1,1,1
CWE-078,CVE-2022-25168,apache,hadoop,3.3.0,0,5,8,0,1,0,0,0,0,0
CWE-078,CVE-2013-7285,x-stream,xstream,1.4.6,1,8,8,4,4,0.5,0.666666667,1,1,1
CWE-078,CVE-2022-25173,jenkinsci,workflow-cps-plugin,2646.v6ed3b5b01ff1,0,0,18,0,4,0,0,0,0,0
CWE-078,CVE-2022-25174,jenkinsci,workflow-cps-global-lib-plugin,544.vff04fa68714d,1,118,239,94,171,0.796610169,0.886792453,1,1,1
CWE-078,CVE-2022-25175,jenkinsci,workflow-multibranch-plugin,706.vd43c65dec013,0,0,0,0,0,N/A,0,,,
CWE-078,CVE-2017-1000487,codehaus-plexus,plexus-utils,3.0.15,1,2,2,2,2,1,1,1,1,1
CWE-078,CVE-2019-10392,jenkinsci,git-client-plugin,2.8.4,1,184,210,13,15,0.070652174,0.131979695,1,1,1
CWE-078,CVE-2020-2261,jenkinsci,perfecto-plugin,1.17,1,1,3,1,3,1,1,1,1,1
CWE-078,CVE-2022-33140,apache,nifi,1.16.2,1,2,2,2,2,1,1,1,1,1
CWE-078,CVE-2023-24422,jenkinsci,script-security-plugin,1228.vd93135a_2fb_25,1,133,288,4,4,0.030075188,0.058394161,1,1,1
CWE-078,CVE-2021-38294,apache,storm,2.0.0,1,22,22,4,4,0.181818182,0.307692308,0,1,1
CWE-074,CVE-2023-39013,larsga,Duke,1.2,1,1,1,1,1,1,1,1,1,1
CWE-074,CVE-2023-25141,apache,sling-org-apache-sling-jcr-base,3.1.0,1,1,1,1,1,1,1,1,1,1
