CWE ID,CVE,Author,Package,Tag,Recall,Alerts,Paths,TP Alerts,TP Paths,Precision,F1,TOP_3,TOP_5,TOP_10
CWE-022,CVE-2018-9159,perwendel,spark,2.7.1,1,35,75,18,27,0.514285714,0.679245283,1,1,1
CWE-022,CVE-2016-9177,perwendel,spark,2.5.1,1,168,178,140,150,0.833333333,0.909090909,0,0,0
CWE-022,CVE-2018-1047,wildfly,wildfly,11.0.0.Final,1,5,5,3,3,0.6,0.75,1,1,1
CWE-022,CVE-2018-12542,vert-x3,vertx-web,3.5.3.CR1,1,396,446,260,287,0.656565657,0.792682927,0,0,0
CWE-022,CVE-2018-17297,dromara,hutool,4.1.11,1,53,80,1,3,0.018867925,0.037037037,0,0,1
CWE-022,CVE-2018-11762,apache,tika,1.18,1,8,10,8,10,1,1,1,1,1
CWE-022,CVE-2020-5410,spring-cloud,spring-cloud-config,2.1.8.RELEASE,1,146,181,28,40,0.191780822,0.32183908,1,1,1
CWE-022,CVE-2020-5405,spring-cloud,spring-cloud-config,2.1.6.RELEASE,1,180,352,180,352,1,1,1,1,1
CWE-022,CVE-2020-35460,joniles,mpxj,8.3.4,1,70,71,2,2,0.028571429,0.055555556,1,1,1
CWE-022,CVE-2020-17519,apache,flink,1.11.2,1,48,64,1,1,0.020833333,0.040816327,0,0,0
CWE-022,CVE-2020-8570,kubernetes-client,java,client-java-parent-9.0.1,1,28,28,13,13,0.464285714,0.634146341,0,0,1
CWE-022,CVE-2022-22932,asf,karaf,4.3.5,1,5,5,2,2,0.4,0.571428571,1,1,1
CWE-022,CVE-2019-17640,vert-x3,vertx-web,3.9.3,0,4,5,0,0,0,0,0,0,0
CWE-022,CVE-2022-23457,ESAPI,esapi-java-legacy,2.2.3.1,1,128,159,6,17,0.046875,0.089552239,0,0,0
CWE-022,CVE-2018-1002202,srikanth-lingala,zip4j,1.3.2,1,52,52,15,15,0.288461538,0.447761194,0,1,1
CWE-022,CVE-2022-25842,alibaba,one-java-agent,0.0.1,1,7,7,3,3,0.428571429,0.6,1,1,1
CWE-022,CVE-2011-4367,apache,myfaces,2.0.11,1,485,1124,454,1060,0.936082474,0.966986155,1,1,1
CWE-022,CVE-2014-7816,undertow-io,undertow,1.0.16.Final,0,60,63,0,0,0,0,0,0,0
CWE-022,CVE-2018-12036,jeremylong,DependencyCheck,3.1.2,1,545,651,62,71,0.113761468,0.204283361,1,1,1
CWE-022,CVE-2018-1002200,codehaus-plexus,plexus-archiver,3.5,0,0,0,0,0,N/A,0,,,
CWE-022,CVE-2018-1002201,zeroturnaround,zt-zip,1.12,1,119,168,10,18,0.084033613,0.15503876,0,0,1
CWE-022,CVE-2022-36007,jlangch,venice,1.10.16,0,45,46,0,0,0,0,0,0,0
CWE-022,CVE-2022-31195,DSpace,DSpace,5.1,1,178,222,2,2,0.011235955,0.022222222,0,0,1
CWE-022,CVE-2022-31194,DSpace,DSpace,5.1,1,38,40,38,38,1,1,1,1,1
CWE-022,CVE-2022-26049,diffplug,goomph,3.37.1,1,125,126,4,4,0.032,0.062015504,0,1,1
CWE-022,CVE-2022-4065,testng-team,testng,7.5,1,49,50,1,1,0.020408163,0.04,0,0,1
CWE-022,CVE-2022-32287,apache,uima-uimaj,3.3.0,1,156,180,22,24,0.141025641,0.247191011,0,0,1
CWE-022,CVE-2022-3782,keycloak,keycloak,20.0.1,1,2,3,2,3,1,1,0,0,0
CWE-022,CVE-2023-24057,hapifhir,org.hl7.fhir.core,5.6.91,1,6,36,2,10,0.333333333,0.5,1,1,1
CWE-022,CVE-2023-41044,Graylog2,graylog2-server,5.1.2,1,26,40,9,10,0.346153846,0.514285714,0,1,1
CWE-022,CVE-2023-35887,apache,mina-sshd,2.9.2,1,10,10,1,1,0.1,0.181818182,0,1,1
CWE-022,CVE-2023-37460,codehaus-plexus,plexus-archiver,4.7.1,1,30,142,3,3,0.1,0.181818182,0,1,1
CWE-022,CVE-2022-4244,codehaus-plexus,plexus-utils,3.0.23,1,79,118,6,7,0.075949367,0.141176471,0,0,1
CWE-022,CVE-2023-45278,yamcs,yamcs,5.8.6,1,332,728,4,6,0.012048193,0.023809524,0,0,1
CWE-022,CVE-2023-45277,yamcs,yamcs,5.8.6,1,350,714,4,6,0.011428571,0.02259887,0,0,1
CWE-022,CVE-2024-23673,apache,sling-org-apache-sling-servlets-resolver,2.10.0,0,0,0,0,0,N/A,0,,,
CWE-022,CVE-2025-53622,DSpace,DSpace,dspace-7.6.3,1,63,154,15,23,0.238095238,0.384615385,0,1,1
CWE-022,CVE-2024-57727,SimpleHelp,SimpleHelp,5.5.7,1,1,7,1,1,1,1,1,1,1
CWE-022,CVE-2025-46096,opensolon,solon,3.1.2,1,11,11,5,5,0.454545455,0.625,1,1,1
CWE-022,CVE-2025-32950,jmix-framework,jmix,2.0.0,1,2,5,2,5,1,1,1,1,1
CWE-022,CVE-2025-0851,deepjavalibrary,djl,0.30.0,0,27,38,0,4,0,0,0,0,0
CWE-022,CVE-2025-24961,gaul,s3proxy,2.5.0,1,74,74,17,17,0.22972973,0.373626374,0,0,0
CWE-022,CVE-2022-34662,apache,dolphinscheduler,2.0.9,1,18,23,1,6,0.055555556,0.105263158,1,1,1
CWE-022,CVE-2018-8041,apache,camel,2.20.3,0,5,25,0,2,0,0,0,0,0
CWE-022,CVE-2024-49771,joniles,mpxj,8.3.5,0,5,17,0,11,0,0,0,0,0
CWE-073,CVE-2024-8616,h2oai,h2o-3,3.44.0.3,1,3,3,2,2,0.666666667,0.8,1,1,1
