CWE ID,CVE,Author,Package,Tag,Recall,Alerts,Paths,TP Alerts,TP Paths,Precision,F1,TOP_3,TOP_5,TOP_10
CWE-022,CVE-2018-9159,perwendel,spark,2.7.1,1,75,,27,,0.36,0.529412,0,0,0
CWE-022,CVE-2016-9177,perwendel,spark,2.5.1,1,178,,150,,0.842697,0.914634,0,0,0
CWE-022,CVE-2018-1047,wildfly,wildfly,11.0.0.Final,1,5,,3,,0.6,0.75,1,1,1
CWE-022,CVE-2018-12542,vert-x3,vertx-web,3.5.3.CR1,1,447,,287,,0.642058,0.782016,0,0,0
CWE-022,CVE-2018-17297,dromara,hutool,4.1.11,1,81,,3,,0.037037,0.071429,0,0,0
CWE-022,CVE-2018-11762,apache,tika,1.18,1,10,,10,,1,1,1,1,1
CWE-022,CVE-2020-5410,spring-cloud,spring-cloud-config,2.1.8.RELEASE,1,181,,40,,0.220994,0.361991,0,0,0
CWE-022,CVE-2020-5405,spring-cloud,spring-cloud-config,2.1.6.RELEASE,1,352,,352,,1,1,1,1,1
CWE-022,CVE-2020-35460,joniles,mpxj,8.3.4,1,47,,2,,0.042553,0.081633,1,1,1
CWE-022,CVE-2020-17519,apache,flink,1.11.2,1,64,,1,,0.015625,0.030769,0,0,0
CWE-022,CVE-2020-8570,kubernetes-client,java,client-java-parent-9.0.1,1,38,,29,,0.763158,0.865672,1,1,1
CWE-022,CVE-2022-22932,asf,karaf,4.3.5,1,5,,2,,0.4,0.571429,1,1,1
CWE-022,CVE-2019-17640,vert-x3,vertx-web,3.9.3,0,9,,0,,0,0,0,0,0
CWE-022,CVE-2022-23457,ESAPI,esapi-java-legacy,2.2.3.1,1,159,,17,,0.106918,0.193182,0,0,0
CWE-022,CVE-2018-1002202,srikanth-lingala,zip4j,1.3.2,1,52,,15,,0.288462,0.447761,0,1,1
CWE-022,CVE-2022-25842,alibaba,one-java-agent,0.0.1,1,7,,3,,0.428571,0.6,0,1,1
CWE-022,CVE-2011-4367,apache,myfaces,2.0.11,1,561,,534,,0.951872,0.975342,1,1,1
CWE-022,CVE-2014-7816,undertow-io,undertow,1.0.16.Final,0,63,,0,,0,0,0,0,0
CWE-022,CVE-2018-12036,jeremylong,DependencyCheck,3.1.2,1,355,,11,,0.030986,0.060109,0,0,0
CWE-022,CVE-2018-1002200,codehaus-plexus,plexus-archiver,3.5,1,207,,1,,0.004831,0.009615,0,0,0
