CWE ID,CVE,Author,Package,Tag,Recall,Alerts,Paths,TP Alerts,TP Paths,Precision,F1,TOP_3,TOP_5,TOP_10
CWE-022,CVE-2018-1047,wildfly,wildfly,11.0.0.Final,1,1,5,1,3,1,1,1,1,1
CWE-022,CVE-2018-12542,vert-x3,vertx-web,3.5.3.CR1,1,149,164,12,12,0.0805,0.1491,0,0,0
CWE-022,CVE-2018-17297,dromara,hutool,4.1.11,0,16,31,0,0,0,0,0,0,0
CWE-022,CVE-2018-11762,apache,tika,1.18,1,10,10,3,3,0.3,0.4615,1,1,1
CWE-022,CVE-2020-35460,joniles,mpxj,8.3.4,1,41,47,1,1,0.0244,0.0476,0,0,1
CWE-022,CVE-2020-8570,kubernetes-client,java,client-java-parent-9.0.1,1,18,38,9,29,0.5,0.6667,0,0,1
CWE-022,CVE-2022-22932,apache,karaf,4.3.5,1,19,29,5,5,0.2632,0.4167,,,
CWE-022,CVE-2019-17640,vert-x3,vertx-web,3.9.3,0,86,159,0,0,0,0,0,0,0
CWE-022,CVE-2022-23457,ESAPI,esapi-java-legacy,2.2.3.1,0,95,221,0,0,0,0,0,0,0
CWE-022,CVE-2018-1002202,srikanth-lingala,zip4j,1.3.2,1,52,52,15,15,0.2885,0.4478,0,0,1
CWE-022,CVE-2022-25842,alibaba,one-java-agent,0.0.1,1,7,7,2,2,0.2857,0.4444,1,1,1
CWE-022,CVE-2011-4367,apache,myfaces,2.0.11,1,10,557,10,448,1,1,1,1,1
CWE-022,CVE-2014-7816,undertow-io,undertow,1.0.16.Final,0,0,62,0,0,0,0,0,0,0
CWE-022,CVE-2018-12036,jeremylong,DependencyCheck,3.1.2,1,86,327,7,11,0.0814,0.1505,0,0,0
CWE-022,CVE-2018-1002200,codehaus-plexus,plexus-archiver,3.5,1,26,206,1,1,0.0385,0.0741,0,0,1
CWE-022,CVE-2018-1002201,zeroturnaround,zt-zip,1.12,1,140,183,42,42,0.3,0.4615,0,0,1
CWE-022,CVE-2022-36007,jlangch,venice,1.10.16,0,6,63,0,0,0,0,0,0,0
CWE-022,CVE-2022-31195,DSpace,DSpace,5.1,1,258,295,1,1,0.0039,0.0077,1,1,1
CWE-022,CVE-2022-31194,DSpace,DSpace,5.1,1,38,40,27,27,0.7105,0.8308,1,1,1
CWE-022,CVE-2022-26049,diffplug,goomph,3.37.1,1,55,187,3,3,0.0545,0.1034,1,1,1
CWE-022,CVE-2022-4065,cbeust,testng,7.5,1,47,80,1,1,0.0213,0.0417,,,
CWE-022,CVE-2022-32287,apache,uima-uimaj,3.3.0,1,36,161,6,6,0.1667,0.2857,0,1,1
CWE-022,CVE-2022-3782,keycloak,keycloak,20.0.1,1,8,65,8,11,1,1,0,0,0
CWE-022,CVE-2023-24057,hapifhir,org.hl7.fhir.core,5.6.91,1,20,36,4,6,0.2,0.3333,1,1,1
CWE-022,CVE-2023-41044,Graylog2,graylog2-server,5.1.2,0,11,53,0,10,0,0,0,0,0
CWE-022,CVE-2023-35887,apache,mina-sshd,2.9.2,0,6,13,0,7,0,0,0,0,0
CWE-022,CVE-2023-37460,codehaus-plexus,plexus-archiver,4.7.1,1,14,100,3,3,0.2143,0.3529,0,1,1
CWE-022,CVE-2022-4244,codehaus-plexus,plexus-utils,3.0.23,1,65,97,5,5,0.0769,0.1429,0,0,1
CWE-022,CVE-2023-45278,yamcs,yamcs,5.8.6,1,179,583,6,6,0.0335,0.0649,0,0,0
CWE-022,CVE-2023-45277,yamcs,yamcs,5.8.6,1,164,601,4,6,0.0244,0.0476,0,0,0
CWE-022,CVE-2024-23673,apache,sling-org-apache-sling-servlets-resolver,2.10.0,0,2,1318,0,0,0,0,0,0,0
CWE-022,CVE-2025-53622,DSpace,DSpace,dspace-7.6.3,1,88,150,4,17,0.0455,0.087,0,0,1
CWE-022,CVE-2024-57727,SimpleHelp,SimpleHelp,5.5.7,1,1,7,1,1,1,1,1,1,1
CWE-022,CVE-2025-46096,opensolon,solon,3.1.2,1,23,23,6,6,0.2609,0.4138,1,1,1
CWE-022,CVE-2025-32950,jmix-framework,jmix,2.0.0,1,2,5,2,5,1,1,1,1,1
CWE-022,CVE-2025-24961,gaul,s3proxy,2.5.0,1,21,73,15,17,0.7143,0.8333,1,1,1
CWE-022,CVE-2022-34662,apache,dolphinscheduler,2.0.9,0,24,26,0,0,0,0,0,0,0
CWE-022,CVE-2024-49771,joniles,mpxj,8.3.5,1,2,17,1,6,0.5,0.6667,1,1,1
CWE-022,CVE-2018-9159,perwendel,spark,2.7.1,0,114,154,0,3,0,0,0,0,0
CWE-022,CVE-2016-9177,perwendel,spark,2.5.1,1,236,280,12,12,0.0508,0.0967,1,1,1
CWE-073,CVE-2024-23634,geoserver,geoserver,2.23.4,1,430,852,58,180,0.1349,0.2377,1,1,1
CWE-073,CVE-2025-0851,deepjavalibrary,djl,0.30.0,1,29,51,1,2,0.0345,0.0667,1,1,1
CWE-073,CVE-2025-1686,PebbleTemplates,pebble,3.2.2,0,0,0,0,0,N/A,0,0,0,0
CWE-073,CVE-2026-23529,Aiven-Open,bigquery-connector-for-apache-kafka,v2.10.1,0,0,0,0,0,N/A,0,0,0,0
CWE-073,CVE-2024-8616,h2oai,h2o-3,3.44.0.3,1,2,3,1,2,0.5,0.6667,1,1,1
CWE-074,CVE-2026-1050,risesoft-y9,Digital-Infrastructure,9.6.7,1,12,12,1,1,0.0833,0.1538,1,1,1
CWE-074,CVE-2023-39013,larsga,Duke,1.2,1,1,1,1,1,1,1,1,1,1
CWE-074,CVE-2023-25141,apache,sling-org-apache-sling-jcr-base,3.1.0,1,1,1,1,1,1,1,1,1,1
CWE-074,CVE-2022-40145,apache,karaf,4.4.0,1,1,1,1,1,1,1,1,1,1
CWE-074,CVE-2022-34916,apache,flume,1.10.0,1,5,5,2,2,0.4,0.5714,1,1,1
CWE-074,CVE-2018-1000130,rhuss,jolokia,1.3.7,1,39,43,6,9,0.1538,0.2667,1,1,1
CWE-078,CVE-2020-1956,apache,kylin,kylin-3.0.1,1,2,2,2,2,1,1,1,1,1
CWE-078,CVE-2022-33891,apache,spark,v3.2.1,0,1,5,0,0,0,0,0,0,0
CWE-078,CVE-2021-45456,apache,kylin,kylin-4.0.0,1,7,11,1,1,0.1429,0.25,1,1,1
CWE-078,CVE-2024-28125,unclebob,fitnesse,20240707,1,4,4,4,4,1,1,1,1,1
CWE-078,CVE-2022-25168,apache,hadoop,3.3.0,1,4,8,1,1,0.25,0.4,1,1,1
CWE-078,CVE-2013-7285,x-stream,xstream,1.4.6,1,13,27,5,14,0.3846,0.5556,1,1,1
CWE-078,CVE-2017-1000487,codehaus-plexus,plexus-utils,3.0.15,1,2,2,2,2,1,1,1,1,1
CWE-078,CVE-2019-10392,jenkinsci,git-client-plugin,2.8.4,0,80,162,0,0,0,0,0,0,0
CWE-078,CVE-2020-2261,jenkinsci,perfecto-plugin,1.17,0,6,9,0,0,0,0,0,0,0
CWE-078,CVE-2022-33140,apache,nifi,1.16.2,1,2,2,2,2,1,1,1,1,1
CWE-078,CVE-2021-38294,apache,storm,2.0.0,1,6,22,4,4,0.6667,0.8,1,1,1
CWE-079,CVE-2019-10077,apache,jspwiki,2.11.0.M3,0,0,97,0,96,0,0,0,0,0
CWE-079,CVE-2019-10076,apache,jspwiki,2.11.0.M3,0,0,0,0,0,N/A,0,,,
CWE-079,CVE-2019-10078,apache,jspwiki,2.11.0.M3,0,0,0,0,0,N/A,0,,,
CWE-079,CVE-2019-10089,apache,jspwiki,2.11.0.M4,0,0,0,0,0,N/A,0,,,
CWE-079,CVE-2019-10219,hibernate,hibernate-validator,6.0.17.Final,0,0,3,0,3,0,0,0,0,0
CWE-079,CVE-2016-6812,apache,cxf,3.0.11,1,20,216,2,23,0.1,0.1818,,,
CWE-079,CVE-2022-46907,apache,jspwiki,2.11.3,1,2,114,2,31,1,1,1,1,1
CWE-079,CVE-2025-62249,liferay,liferay-portal,114.1.0,0,17,412,0,86,0,0,0,0,0
CWE-079,CVE-2025-43774,liferay,liferay-portal-taglib-clay,15.2.1,0,0,0,0,0,N/A,0,,,
CWE-079,CVE-2019-17573,apache,cxf,3.2.11,0,0,0,0,0,N/A,0,,,
CWE-089,CVE-2025-62228,apache,flink-cdc,3.3.0,1,12,58,12,58,1,1,1,1,1
CWE-089,CVE-2022-4963,folio-org,spring-module-core,2.0.0,1,76,155,6,9,0.0789,0.1463,0,0,0
CWE-089,CVE-2020-13921,apache,skywalking,8.0.0,0,104,124,0,0,0,0,0,0,0
CWE-089,CVE-2023-35088,apache,inlong,1.5.0,1,445,756,2,2,0.0045,0.0089,1,1,1
CWE-089,CVE-2022-31197,pgjdbc,pgjdbc,42.4.0,0,31,40,0,0,0,0,0,0,0
CWE-089,CVE-2022-45930,opendaylight,aaa,v0.16.4,0,380,763,0,2,0,0,0,0,0
CWE-089,CVE-2023-25157,geoserver,geoserver,2.21.3,1,34,38,2,2,0.0588,0.1111,1,1,1
CWE-094,CVE-2022-22947,spring-cloud,spring-cloud-gateway,3.0.6,1,15,53,5,22,0.3333,0.5,1,1,1
CWE-094,CVE-2021-30180,apache,dubbo,2.7.9,1,95,130,15,15,0.1579,0.2727,1,1,1
CWE-094,CVE-2021-4178,fabric8io,kubernetes-client,5.0.2,1,2,2,2,2,1,1,1,1,1
CWE-094,CVE-2022-42889,apache,commons-text,1.9,1,1,2,1,2,1,1,1,1,1
CWE-094,CVE-2022-44262,ff4j,ff4j,1.8.13,1,5,5,5,5,1,1,,,
CWE-094,CVE-2023-51770,apache,dolphinscheduler,3.2.0,1,1,2,1,2,1,1,1,1,1
CWE-094,CVE-2023-49109,apache,dolphinscheduler,3.2.0,0,3,3,0,0,0,0,0,0,0
CWE-094,CVE-2020-11998,apache,activemq,5.15.12,1,1,2,1,1,1,1,1,1,1
CWE-094,CVE-2023-49093,HtmlUnit,htmlunit,3.8.0,1,3,7,3,7,1,1,1,1,1
CWE-094,CVE-2023-33246,apache,rocketmq,5.1.0,1,3,3,2,2,0.6667,0.8,1,1,1
CWE-094,CVE-2023-32697,xerial,sqlite-jdbc,3.41.2.1,0,0,18,0,1,0,0,0,0,0
CWE-502,CVE-2017-15708,apache,synapse,3.0.0,1,9,9,2,2,0.2222,0.3636,1,1,1
CWE-502,CVE-2019-7091,adobe,coldfusion,11_Update_15,1,1071,1153,13,13,0.0121,0.024,1,1,1
CWE-502,CVE-2019-0192,apache,solr,6.0.0,1,1,11,1,1,1,1,1,1,1
CWE-502,CVE-2023-46604,apache,activemq,5.16.0,1,960,1000,360,400,0.375,0.5455,1,1,1
CWE-502,CVE-2021-44228,apache,logging-log4j2,2.14.0,1,6,6,6,6,1,1,1,1,1
CWE-502,CVE-2025-47771,powsybl,powsybl-core,6.7.1,1,1,1,1,1,1,1,1,1,1
CWE-502,CVE-2018-1297,apache,jmeter,3.0.0,0,0,0,0,0,N/A,0,,,
CWE-502,CVE-2025-6544,h2oai,h2o-3,3.46.0.7,1,6,6,3,3,0.5,0.6667,1,1,1
CWE-502,CVE-2024-10553,h2oai,h2o-3,3.46.0.5,1,6,6,3,3,0.5,0.6667,1,1,1
CWE-502,CVE-2023-45146,xuxueli,xxl-rpc,1.7.0,0,0,0,0,0,N/A,0,0,0,0
CWE-502,CVE-2024-47552,apache,incubator-seata,2.0.0,1,3,3,2,2,0.6667,0.8,1,1,1
CWE-502,CVE-2023-51785,apache,inlong,1.5.0,1,97,97,3,3,0.0309,0.06,0,0,1
CWE-502,CVE-2023-48887,fengjiachun,Jupiter,1.3.1,1,5,5,1,1,0.2,0.3333,,,
